instance,parameter,cut_count,known_puzzle,best_solution,lower bound,gap,runtime,node_count,remaining_nodes,status,cpu_type,time_limit,ram
6,2,5000,17,17.0,17.0,0.0,144220.459884,1244465,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
7,2,500,17,17.0,17.0,0.0,13520.00909,410200,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
7,2,1000,17,17.0,17.0,0.0,15758.732213,459915,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
7,2,3000,17,17.0,17.0,0.0,3523.33698,38224,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
7,2,5000,17,17.0,17.0,0.0,31139.187174,222093,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
8,2,500,17,17.0,17.0,0.0,128991.527246,4372516,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
8,2,1000,17,17.0,17.0,0.0,248216.09875,8593206,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
8,2,3000,17,18.0,16.263305,9.648304,345600.028874,4625018,1315332,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
8,2,5000,17,18.0,15.924102,11.532768,345600.031123,2142494,960401,Time Limit,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
9,2,500,17,17.0,17.0,0.0,87039.054664,2915177,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
9,2,1000,17,17.0,17.0,0.0,30325.451657,889192,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
9,2,3000,17,17.0,17.0,0.0,32581.502719,359346,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
9,2,5000,17,17.0,17.0,0.0,221091.682334,1585588,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
10,2,500,17,17.0,17.0,0.0,59796.799415,2059107,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
10,2,1000,17,17.0,17.0,0.0,98115.958623,2902859,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
10,2,3000,17,17.0,17.0,0.0,170975.589581,1952515,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
10,2,5000,17,17.0,17.0,0.0,169164.620669,1168003,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
11,2,500,17,17.0,17.0,0.0,72846.183087,2378254,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
11,2,1000,17,17.0,17.0,0.0,15730.310759,450877,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
11,2,3000,17,17.0,17.0,0.0,63344.024769,687168,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
11,2,5000,17,17.0,17.0,0.0,120640.085675,1044198,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
12,2,500,17,17.0,17.0,0.0,138900.324637,4694510,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
12,2,1000,17,17.0,17.0,0.0,118124.744929,3842758,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
12,2,3000,17,17.0,17.0,0.0,28257.644581,308137,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
12,2,5000,17,17.0,17.0,0.0,158303.880142,986596,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
13,2,500,17,17.0,17.0,0.0,36496.920749,1324213,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
13,2,1000,17,17.0,17.0,0.0,17298.565334,514381,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
13,2,3000,17,17.0,17.0,0.0,58127.781802,920352,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
13,2,5000,17,17.0,17.0,0.0,84991.003513,682532,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
14,2,500,17,17.0,17.0,0.0,92573.700356,3681147,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
14,2,1000,17,17.0,17.0,0.0,63309.588744,1625255,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
14,2,3000,17,17.0,17.0,0.0,118708.215578,1198161,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
14,2,5000,17,17.0,17.0,0.0,174568.440924,1217679,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
15,2,500,17,17.0,17.0,0.0,106699.168523,3376859,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
15,2,1000,17,17.0,17.0,0.0,22019.686269,651933,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
15,2,3000,17,17.0,17.0,0.0,86964.675836,979604,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
15,2,5000,17,17.0,17.0,0.0,160752.798442,1031383,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
16,2,500,17,17.0,17.0,0.0,61808.735978,2577799,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
16,2,1000,17,17.0,17.0,0.0,24149.453229,701656,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
16,2,3000,17,17.0,17.0,0.0,98899.595375,1046641,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
16,2,5000,17,17.0,17.0,0.0,100927.933844,663617,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
17,2,500,17,17.0,17.0,0.0,89064.984159,3662993,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
17,2,1000,17,17.0,17.0,0.0,43608.81254,1342962,0,Optimal,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,345600,16000
